"","fyear","type","measure","models","modelled_growth","baseline","deflator"
"426",2028,"elective","activity","log",115.3654274,20760699,1.9327437807694
"427",2028,"emergency","activity","constant",120.89,6437959,1.9327437807694
"428",2028,"emergency","activity","changing",117.0092085,6437959,1.9327437807694
"429",2028,"emergency","activity","log",115.1702093,6437959,1.9327437807694
"430",2028,"gp","activity","constant",112.53,275710483,1.9327437807694
"431",2028,"gp","activity","changing",213.1061188,275710483,1.9327437807694
"432",2028,"gp","activity","log",106.6098841,275710483,1.9327437807694
"433",2028,"op","activity","constant",117.22,96420114,1.9327437807694
"434",2028,"op","activity","changing",167.6691096,96420114,1.9327437807694
"435",2028,"op","activity","log",124.4855123,96420114,1.9327437807694
"436",2029,"ae","activity","constant",109.42,24826982,2.3
"437",2029,"ae","activity","changing",159.3836825,24826982,2.3
"438",2029,"ae","activity","log",119.3048155,24826982,2.3
"439",2029,"elective","activity","constant",118.44,20760699,2.3
"440",2029,"elective","activity","changing",123.0756024,20760699,2.3
"441",2029,"elective","activity","log",116.5979999,20760699,2.3
"442",2029,"emergency","activity","constant",123.01,6437959,2.3
"443",2029,"emergency","activity","changing",118.7392681,6437959,2.3
"444",2029,"emergency","activity","log",116.714434,6437959,2.3
"445",2029,"gp","activity","constant",113.65,275710483,2.3
"446",2029,"gp","activity","changing",229.4456157,275710483,2.3
"447",2029,"gp","activity","log",107.3041278,275710483,2.3
"448",2029,"op","activity","constant",118.82,96420114,2.3
"449",2029,"op","activity","changing",176.2377718,96420114,2.3
"450",2029,"op","activity","log",126.593674,96420114,2.3
"451",2030,"ae","activity","constant",110.35,24826982,2.3
"452",2030,"ae","activity","changing",166.3209383,24826982,2.3
"453",2030,"ae","activity","log",120.9054269,24826982,2.3
"454",2030,"elective","activity","constant",120.04,20760699,2.3
"455",2030,"elective","activity","changing",125.1897436,20760699,2.3
"456",2030,"elective","activity","log",117.9481818,20760699,2.3
"457",2030,"emergency","activity","constant",125.39,6437959,2.3
"458",2030,"emergency","activity","changing",120.5867244,6437959,2.3
"459",2030,"emergency","activity","log",118.3746061,6437959,2.3
"460",2030,"gp","activity","constant",114.8,275710483,2.3
"461",2030,"gp","activity","changing",247.0518606,275710483,2.3
"462",2030,"gp","activity","log",108.0266054,275710483,2.3
"463",2030,"op","activity","constant",120.55,96420114,2.3
"464",2030,"op","activity","changing",185.3181369,96420114,2.3
"465",2030,"op","activity","log",128.744434,96420114,2.3
"466",2031,"ae","activity","constant",111.37,24826982,2.3
"467",2031,"ae","activity","changing",173.6001847,24826982,2.3
"468",2031,"ae","activity","log",122.5207958,24826982,2.3
"469",2031,"elective","activity","constant",121.73,20760699,2.3
"470",2031,"elective","activity","changing",127.3437408,20760699,2.3
"471",2031,"elective","activity","log",119.3106168,20760699,2.3
"472",2031,"emergency","activity","constant",128.5,6437959,2.3
"473",2031,"emergency","activity","changing",122.6944813,6437959,2.3
"474",2031,"emergency","activity","log",120.2933213,6437959,2.3
"475",2031,"gp","activity","constant",115.96,275710483,2.3
"476",2031,"gp","activity","changing",266.0277861,275710483,2.3
"477",2031,"gp","activity","log",108.7781644,275710483,2.3
"478",2031,"op","activity","constant",122.32,96420114,2.3
"479",2031,"op","activity","changing",194.8521517,96420114,2.3
"480",2031,"op","activity","log",130.881399,96420114,2.3
"481",2032,"ae","activity","constant",112.21,24826982,2.3
"482",2032,"ae","activity","changing",180.9834535,24826982,2.3
"483",2032,"ae","activity","log",123.9796229,24826982,2.3
"484",2032,"elective","activity","constant",123.26,20760699,2.3
"485",2032,"elective","activity","changing",129.4157706,20760699,2.3
"486",2032,"elective","activity","log",120.5716207,20760699,2.3
"487",2032,"emergency","activity","constant",130.71,6437959,2.3
"488",2032,"emergency","activity","changing",124.4526082,6437959,2.3
"489",2032,"emergency","activity","log",121.8639578,6437959,2.3
"490",2032,"gp","activity","constant",117.05,275710483,2.3
"491",2032,"gp","activity","changing",286.2342861,275710483,2.3
"492",2032,"gp","activity","log",109.4358464,275710483,2.3
"493",2032,"op","activity","constant",123.93,96420114,2.3
"494",2032,"op","activity","changing",204.6824492,96420114,2.3
"495",2032,"op","activity","log",132.88931,96420114,2.3
"496",2033,"ae","activity","constant",112.98,24826982,2.3
"497",2033,"ae","activity","changing",188.5684392,24826982,2.3
"498",2033,"ae","activity","log",125.3511958,24826982,2.3
"499",2033,"elective","activity","constant",124.6,20760699,2.3
"500",2033,"elective","activity","changing",131.3612268,20760699,2.3
"501",2033,"elective","activity","log",121.6912752,20760699,2.3
"502",2033,"emergency","activity","constant",132.94,6437959,2.3
"503",2033,"emergency","activity","changing",126.0725886,6437959,2.3
"504",2033,"emergency","activity","log",123.297326,6437959,2.3
"505",2033,"gp","activity","constant",118.03,275710483,2.3
"506",2033,"gp","activity","changing",307.7067717,275710483,2.3
"507",2033,"gp","activity","log",110.0244406,275710483,2.3
"508",2033,"op","activity","constant",125.38,96420114,2.3
"509",2033,"op","activity","changing",214.8144652,96420114,2.3
"510",2033,"op","activity","log",134.770102,96420114,2.3
"511",2034,"ae","activity","constant",113.75,24826982,2.3
"512",2034,"ae","activity","changing",196.4767283,24826982,2.3
"513",2034,"ae","activity","log",126.7133374,24826982,2.3
"514",2034,"elective","activity","constant",125.99,20760699,2.3
"515",2034,"elective","activity","changing",133.3435294,20760699,2.3
"516",2034,"elective","activity","log",122.8236793,20760699,2.3
"517",2034,"emergency","activity","constant",135.1,6437959,2.3
"518",2034,"emergency","activity","changing",127.6952122,6437959,2.3
"519",2034,"emergency","activity","log",124.7339529,6437959,2.3
"520",2034,"gp","activity","constant",119,275710483,2.3
"521",2034,"gp","activity","changing",330.7212535,275710483,2.3
"522",2034,"gp","activity","log",110.5939596,275710483,2.3
"523",2034,"op","activity","constant",126.84,96420114,2.3
"524",2034,"op","activity","changing",225.4370011,96420114,2.3
"525",2034,"op","activity","log",136.6375124,96420114,2.3
"526",2035,"ae","activity","constant",114.48,24826982,2.3
"527",2035,"ae","activity","changing",204.6996971,24826982,2.3
"528",2035,"ae","activity","log",128.0539355,24826982,2.3
"529",2035,"elective","activity","constant",127.42,20760699,2.3
"530",2035,"elective","activity","changing",135.3451342,20760699,2.3
"531",2035,"elective","activity","log",123.9520693,20760699,2.3
"532",2035,"emergency","activity","constant",136.92,6437959,2.3
"533",2035,"emergency","activity","changing",129.1958397,6437959,2.3
"534",2035,"emergency","activity","log",126.0489216,6437959,2.3
"535",2035,"gp","activity","constant",119.98,275710483,2.3
"536",2035,"gp","activity","changing",355.4963325,275710483,2.3
"537",2035,"gp","activity","log",111.1901154,275710483,2.3
"538",2035,"op","activity","constant",128.32,96420114,2.3
"539",2035,"op","activity","changing",236.5905896,96420114,2.3
"540",2035,"op","activity","log",138.5029874,96420114,2.3
